iter	Passed	Remaining
637	4777	2710
638	4784	2703
639	4791	2695
640	4801	2689
641	4808	2681
642	4813	2672
643	4818	2663
644	4825	2656
645	4833	2648
646	4838	2639
647	4845	2631
648	4852	2624
649	4856	2615
650	4866	2608
651	4874	2601
652	4881	2594
653	4889	2586
654	4894	2578
655	4902	2570
656	4910	2563
657	4917	2556
658	4925	2548
659	4933	2541
660	4938	2532
661	4945	2525
662	4951	2516
663	4957	2508
664	4965	2501
665	4971	2493
666	4980	2486
667	4986	2478
668	4992	2470
669	4998	2461
670	5003	2453
671	5009	2445
672	5014	2436
673	5019	2427
674	5024	2419
675	5029	2410
676	5036	2403
677	5041	2394
678	5050	2387
679	5057	2379
680	5064	2372
681	5069	2363
682	5074	2355
683	5080	2346
684	5084	2338
685	5092	2330
686	5099	2323
687	5104	2314
688	5110	2306
689	5118	2299
690	5122	2290
691	5127	2282
692	5134	2274
693	5143	2267
694	5151	2260
695	5155	2251
696	5162	2244
697	5166	2235
698	5173	2227
699	5181	2220
700	5186	2212
701	5191	2203
702	5198	2196
703	5205	2188
704	5214	2182
705	5221	2174
706	5227	2166
707	5234	2159
708	5242	2151
709	5249	2144
710	5256	2136
711	5263	2129
712	5269	2120
713	5276	2113
714	5283	2106
715	5292	2099
716	5303	2093
717	5310	2085
718	5316	2077
719	5323	2070
720	5330	2062
721	5336	2054
722	5342	2047
723	5348	2039
724	5354	2030
725	5360	2023
726	5368	2016
727	5375	2008
728	5382	2000
729	5388	1993
730	5394	1985
731	5403	1978
732	5409	1970
733	5416	1962
734	5427	1956
735	5433	1948
736	5441	1941
737	5448	1934
738	5453	1926
739	5458	1917
740	5465	1910
741	5472	1902
742	5478	1894
743	5485	1887
744	5491	1879
745	5496	1871
746	5502	1863
747	5509	1856
748	5518	1849
749	5527	1842
750	5535	1835
751	5541	1827
752	5547	1819
753	5551	1811
754	5559	1804
755	5567	1796
756	5575	1789
757	5583	1782
758	5589	1774
759	5597	1767
760	5606	1760
761	5611	1752
762	5616	1744
763	5625	1737
764	5631	1730
765	5640	1723
766	5649	1716
767	5657	1709
768	5664	1701
769	5670	1693
770	5675	1685
771	5683	1678
772	5691	1671
773	5698	1663
774	5706	1656
775	5714	1649
776	5721	1642
777	5728	1634
778	5738	1628
779	5746	1620
780	5754	1613
781	5761	1606
782	5770	1599
783	5775	1591
784	5783	1583
785	5790	1576
786	5800	1569
787	5806	1562
788	5814	1555
789	5819	1547
790	5825	1539
791	5832	1531
792	5839	1524
793	5847	1517
794	5853	1509
795	5861	1502
796	5866	1494
797	5871	1486
798	5877	1478
799	5885	1471
800	5893	1464
801	5901	1457
802	5911	1450
803	5916	1442
804	5925	1435
805	5933	1428
806	5938	1420
807	5945	1412
808	5953	1405
809	5958	1397
810	5967	1390
811	5977	1383
812	5982	1376
813	5990	1368
814	6000	1362
815	6007	1354
816	6012	1346
817	6019	1339
818	6026	1331
819	6033	1324
820	6040	1316
821	6048	1309
822	6056	1302
823	6065	1295
824	6071	1287
825	6080	1280
826	6090	1274
827	6100	1267
828	6111	1260
829	6117	1252
830	6122	1245
831	6126	1237
832	6131	1229
833	6140	1222
834	6145	1214
835	6149	1206
836	6156	1198
837	6164	1191
838	6170	1184
839	6178	1176
840	6184	1169
841	6192	1162
842	6197	1154
843	6203	1146
844	6210	1139
845	6219	1132
846	6226	1124
847	6234	1117
848	6240	1109
849	6248	1102
850	6258	1095
851	6267	1088
852	6278	1081
853	6287	1074
854	6294	1067
855	6302	1060
856	6308	1052
857	6316	1045
858	6321	1037
859	6329	1030
860	6336	1022
861	6344	1015
862	6351	1008
863	6360	1001
864	6369	994
865	6377	986
866	6387	979
867	6396	972
868	6405	965
869	6412	958
870	6419	950
871	6426	943
872	6432	935
873	6440	928
874	6450	921
875	6457	914
876	6466	906
877	6473	899
878	6477	891
879	6483	884
880	6493	877
881	6501	869
882	6509	862
883	6517	855
884	6524	847
885	6531	840
886	6536	832
887	6542	825
888	6553	818
889	6562	811
890	6570	803
891	6575	796
892	6584	789
893	6590	781
894	6597	774
895	6603	766
896	6612	759
897	6620	752
898	6625	744
899	6631	736
900	6638	729
901	6646	722
902	6651	714
903	6656	706
904	6664	699
905	6673	692
906	6680	684
907	6685	677
908	6693	670
909	6699	662
910	6707	655
911	6714	647
912	6721	640
913	6730	633
914	6738	626
915	6746	618
916	6753	611
917	6761	603
918	6768	596
919	6780	589
920	6786	582
921	6793	574
922	6800	567
923	6809	560
924	6817	552
925	6823	545
926	6832	538
927	6839	530
928	6845	523
929	6854	515
930	6861	508
931	6871	501
932	6879	494
933	6887	486
934	6892	479
935	6900	471
936	6908	464
937	6917	457
938	6927	450
939	6935	442
940	6941	435
941	6949	427
942	6955	420
943	6960	412
944	6966	405
945	6972	398
946	6982	390
947	6990	383
948	6998	376
949	7006	368
950	7014	361
951	7021	354
952	7030	346
953	7037	339
954	7043	331
955	7051	324
956	7056	317
957	7063	309
958	7067	302
959	7074	294
960	7081	287
961	7087	279
962	7092	272
963	7099	265
964	7105	257
965	7110	250
966	7118	242
967	7124	235
968	7131	228
969	7137	220
970	7143	213
971	7151	206
972	7159	198
973	7164	191
974	7171	183
975	7177	176
976	7184	169
977	7191	161
978	7197	154
979	7203	147
980	7212	139
981	7220	132
982	7230	125
983	7238	117
984	7247	110
985	7256	103
986	7261	95
987	7270	88
988	7278	80
989	7285	73
990	7290	66
991	7296	58
992	7300	51
993	7308	44
994	7314	36
995	7321	29
996	7330	22
997	7339	14
998	7347	7
999	7353	0
