lat,lon,area_code,type_of_area,type_of_area_pred_rf,type_of_area_pred_cboost,type_of_area_pred_lgbm,type_of_area_pred_voting
45.722896,-73.376808,052601,unknown,rural,rural,rural,rural
35.02,136.41777777777776,jp24341810,unknown,rural,rural,rural,rural
36.76583333333333,137.04194444444445,jp16202090,unknown,urban,urban,urban,urban
25.1328,99.1711,2595A,unknown,urban,urban,urban,urban
48.2544432597031,14.3108811282513,openaq_2874,unknown,suburban,urban,suburban,suburban
47.2075,123.6333,3662A,unknown,urban,urban,urban,urban
13.360626576582,100.98454092591,openaq_2311,unknown,urban,urban,urban,urban
40.946892,-123.636489,openaq_231786,unknown,rural,suburban,suburban,suburban
30.2917,113.8454,openaq_43333,unknown,rural,rural,rural,rural
39.4694,75.9755,openaq_10055,unknown,urban,urban,urban,urban
26.0732,-80.3386,openaq_869,unknown,suburban,suburban,suburban,suburban
34.82666666666667,137.3766666666667,jp23207010,unknown,urban,urban,urban,urban
42.2117,-71.114403,openaq_533,unknown,suburban,suburban,suburban,suburban
35.33305555555556,139.35611111111112,jp14203510,unknown,urban,urban,urban,urban
41.728692,-122.521913,openaq_7101,unknown,rural,rural,rural,rural
35.4302,116.6251,openaq_9131,unknown,urban,urban,urban,urban
44.0969,12.4033,openaq_7614,unknown,urban,urban,suburban,urban
39.155,-75.518056,openaq_270811,unknown,suburban,suburban,suburban,suburban
28.376058,77.315741,openaq_10908,unknown,urban,urban,urban,urban
36.3322,-119.2903,openaq_877,unknown,urban,suburban,urban,urban
27.7044,111.9892,2491A,unknown,urban,urban,urban,urban
41.8081,-71.415,openaq_461,unknown,urban,urban,urban,urban
